isin,wkn,name,fundProvider,quote,quote52Low,quote52High,ytdReturnCUR,fees,yearVolatilityCUR,fundCurrency,threeMonthReturnCUR,monthReturnCUR,sixMonthReturnCUR,inceptionDate,ticker,yearReturnCUR,domicileCountry,weekReturnCUR,yearReturn1CUR,quoteDate,currencyRisk,UCITSCompliance,securitiesLending
DE000A3GV1T7,A3GV1T,VanEck Avalanche ETN,VanEck,1.73,1.09,9.79,0.6055,0.015,1.0468,USD,0.4463,-0.186,-0.0541,12/8/2021,VAVA,-0.7756,Liechtenstein,0.0542,-0.8956,3/21/2023,Currency unhedged,No,No
IE00082BU3V4,A3C567,Roundhill Ball Metaverse UCITS ETF,Roundhill,14.46,11.54,19.65,0.222,0.0059,,USD,0.2035,-0.0021,0.0035,3/22/2022,METV,,Ireland,0.0422,,3/21/2023,Currency unhedged,Yes,No
IE00BFXR6159,A2N4PW,L&G Multi-Strategy Enhanced Commodities UCITS ETF,Legal & General (LGIM),12.14,12.11,15.46,-0.062,0.003,0.2217,USD,-0.0532,-0.0487,-0.1466,6/25/2021,EN4C,-0.0289,Ireland,-0.0304,0.32,3/21/2023,Currency unhedged,Yes,No
BGSRBBE05183,A2JB7D,Expat Serbia BELEX15 UCITS ETF,expatcapital,0.92,0.86,0.99,0.0333,0.0138,0.1281,EUR,0.0449,0.0109,0.0449,2/5/2018,ESNB,-0.0412,Bulgaria,0,-0.0909,3/21/2023,Currency unhedged,Yes,No
BGROBET05176,A2JAHB,Expat Romania BET UCITS ETF,expatcapital,1.55,1.35,1.65,0.0403,0.0138,0.1788,EUR,-0.019,-0.019,0.0403,12/21/2017,ROX,0.0197,Bulgaria,-0.0127,-0.0197,3/21/2023,Currency unhedged,Yes,No
CH0496454155,A22GRU,21Shares Binance BNB ETP,21Shares,22.38,14.76,30.44,0.3618,0.025,0.6225,USD,0.3218,0.0579,0.1488,10/15/2019,21XJ,-0.146,Switzerland,0.0834,-0.5178,3/21/2023,Currency unhedged,No,No
CH1199067674,A3GZ2Z,21Shares Bitcoin Core ETP,21Shares,6.21,3.7,6.21,0.6757,0.0021,,USD,0.6316,0.1131,0.3508,6/29/2022,21BC,,Switzerland,0.1567,,3/21/2023,Currency unhedged,No,No
CH0454664001,A2T64E,21Shares Bitcoin ETP,21Shares,8.99,5.37,15.31,0.6704,0.0149,0.5824,USD,0.6309,0.1129,0.3448,2/26/2019,2BTC,-0.3189,Switzerland,0.1544,-0.6374,3/21/2023,Currency unhedged,No,No
GB00BLD4ZL17,A3GPMN,CoinShares Physical Bitcoin,CoinShares,25.35,15.12,42.96,0.6713,0.0098,0.581,USD,0.6314,0.1045,0.3477,1/19/2021,BITC,-0.3157,Jersey,0.1539,-0.6399,3/21/2023,Currency unhedged,No,No
DE000A3GK2N1,A3GK2N,DDA Physical Bitcoin ETP,Deutsche Digital Assets,2.54,1.52,4.31,0.6711,0.0095,0.5841,USD,0.6282,0.1043,0.3511,4/15/2021,XBTI,-0.3154,Germany,0.1545,-0.6355,3/21/2023,Currency unhedged,No,No
DE000A27Z304,A27Z30,ETC Group Physical Bitcoin,ETC Group,24.52,14.66,41.97,0.6678,0.02,0.5828,USD,0.6278,0.1083,0.3412,6/8/2020,BTCE,-0.3225,Germany,0.1538,-0.6389,3/21/2023,Currency unhedged,No,No
GB00BLBDZV05,A3GWV4,Global X Bitcoin ETP,Global X,25.76,15.35,43.52,0.6717,0.0065,0.5932,USD,0.6313,0.1123,0.3484,3/8/2022,BT0Y,-0.3143,Jersey,0.1527,,3/21/2023,Currency unhedged,No,No
CH0558875933,A3GVH3,SEBA Bitcoin ETP,SEBA Bank,2.51,1.51,4.27,0.6623,0.0075,0.5848,USD,0.6299,0.1106,0.3422,11/2/2020,SETB,-0.3066,Switzerland,0.1514,-0.6388,3/21/2023,Currency unhedged,No,No
DE000A28M8D0,A28M8D,VanEck Bitcoin ETN,VanEck,14.11,8.42,23.94,0.671,0.01,0.5812,USD,0.6323,0.1061,0.3477,11/19/2020,VBTC,-0.316,Liechtenstein,0.1542,-0.6358,3/21/2023,Currency unhedged,No,No
GB00BJYDH287,A3GKGK,WisdomTree Bitcoin,WisdomTree,6.28,3.75,10.65,0.6693,0.0095,0.582,USD,0.6302,0.1041,0.3462,11/28/2019,WBIT,-0.3158,Jersey,0.155,-0.6352,3/21/2023,Currency unhedged,No,No
CH0475552201,A2126N,21Shares Bitcoin Cash ETP,21Shares,5.37,3.97,15.67,0.3703,0.025,0.7643,USD,0.3046,-0.0811,0.0837,7/4/2019,ABCH,-0.5552,Switzerland,0.0502,-0.771,3/21/2023,Currency unhedged,No,No
LU2439735890,A3DKVC,Amundi China CNY Bonds UCITS ETF DR (C),Amundi ETF,49.28,48.79,50.37,0.0121,0.002,,USD,,-0.0018,,11/28/2022,CNYE,,Luxembourg,0.0053,,3/21/2023,Currency unhedged,Yes,No
IE00BKPSFD61,A2P3WK,iShares China CNY Bond UCITS ETF USD (Acc),iShares,5.24,5.05,5.61,0.0195,0.0035,0.0871,USD,0.0214,0.0038,-0.042,5/14/2020,AYER,-0.0076,Ireland,0.0096,0.0039,3/17/2023,Currency unhedged,Yes,No
IE00BYPC1H27,A14T8G,iShares China CNY Bond UCITS ETF USD (Dist),iShares,4.87,4.81,5.35,0.0124,0.0035,0.0872,USD,0.0124,-0.002,-0.0455,7/24/2019,ICGB,-0.0164,Ireland,0.0062,0.0049,3/21/2023,Currency unhedged,Yes,No
IE00BKT6RT64,A2PRG0,iShares China CNY Bond UCITS ETF USD Hedged (Dist),iShares,4.73,4.47,5.25,0.0128,0.004,0.1046,USD Hedged,0.015,0.0042,-0.0516,11/4/2019,AYEQ,0.0789,Ireland,-0.0021,0.0894,3/17/2023,Currency hedged,Yes,No
IE000TB7IEF3,A3CYEM,JPMorgan BetaBuilders China Aggregate Bond UCITS ETF USD (acc),J.P. Morgan,88.46,86.24,95.77,0.0132,0.0025,0.0868,USD,0.0119,-0.0015,-0.0458,3/17/2022,JCHA,-0.0185,Ireland,0.0058,,3/21/2023,Currency unhedged,Yes,No
IE000B8M14I0,A3DCK4,JPMorgan BetaBuilders China Aggregate Bond UCITS ETF EUR Hedged (acc),J.P. Morgan,93.39,91.74,95.53,0.0073,0.0028,,EUR Hedged,0.0063,0.0047,-0.0033,5/5/2022,JCHE,,Ireland,0.0027,,3/21/2023,Currency hedged,Yes,No
IE00B6YX5J02,A3C2C7,SPDR Bloomberg China Treasury Bond UCITS ETF (Acc),SPDR ETF,27.1,26.42,29.35,0.0134,0.0019,0.0855,USD,0.0119,-0.0015,-0.0459,11/10/2021,SPP8,-0.0187,Ireland,0.0052,0.0041,3/21/2023,Currency unhedged,Yes,No
IE00BDFL4P12,A2DK6R,iShares Diversified Commodity Swap UCITS ETF,iShares,6.11,6.11,8.02,-0.0851,0.0019,0.2084,USD,-0.0823,-0.0407,-0.1694,7/18/2017,SXRS,-0.1255,Ireland,-0.0223,0.2226,3/21/2023,Currency unhedged,Yes,Yes
DE000A0H0728,A0H072,iShares Diversified Commodity Swap UCITS ETF (DE),iShares,24.53,24.53,32.43,-0.0898,0.0046,0.1972,EUR,-0.0837,-0.0412,-0.1718,8/7/2007,EXXY,-0.125,Germany,-0.0249,0.2144,3/21/2023,Currency unhedged,Yes,No
IE00BF0BCP69,A2DQ7M,L&G All Commodities UCITS ETF,Legal & General (LGIM),12.3,12.3,16.07,-0.0844,0.0015,0.2059,USD,-0.0817,-0.0359,-0.1671,7/11/2017,ETLF,-0.1197,Ireland,-0.0229,0.2306,3/21/2023,Currency unhedged,Yes,No
IE00BKY4W127,A2QSKH,WisdomTree Broad Commodities UCITS ETF,WisdomTree,9.83,9.83,12.97,-0.0886,0.0019,0.2095,USD,-0.086,-0.0454,-0.1739,11/29/2021,PCOM,-0.1295,Ireland,-0.0266,0.2221,3/21/2023,Currency unhedged,Yes,No
IE00BF4J0300,A2JN3K,Invesco Bloomberg Commodity UCITS ETF EUR hedged Acc,Invesco,46.93,46.71,63.15,-0.0917,0.0024,0.2274,EUR Hedged,-0.0874,-0.0396,-0.1288,8/16/2018,CMOE,-0.1738,Ireland,-0.0292,0.1208,3/21/2023,Currency hedged,Yes,No
IE00B4WPHX27,A1CXBU,L&G Longer Dated All Commodities UCITS ETF,Legal & General (LGIM),20.02,20.02,25.08,-0.0767,0.003,0.1935,USD,-0.0733,-0.0419,-0.1344,3/18/2010,ETL2,-0.0682,Ireland,-0.0313,0.265,3/21/2023,Currency unhedged,Yes,No
LU2278080713,DBX0AA,Xtrackers Bloomberg Commodity Swap UCITS ETF 1C,Xtrackers,9.59,9.59,12,-0.0758,0.0019,0.196,USD,-0.0731,-0.0418,-0.1332,11/3/2021,XCMC,-0.066,Luxembourg,-0.0312,0.2676,3/21/2023,Currency unhedged,Yes,No
LU0429790743,DBX0CZ,Xtrackers Bloomberg Commodity Swap UCITS ETF 2C EUR Hedged,Xtrackers,19.65,19.59,25.15,-0.0784,0.0024,0.2205,EUR Hedged,-0.0728,-0.0429,-0.0883,7/9/2009,DBZN,-0.1221,Luxembourg,-0.033,0.1583,3/21/2023,Currency hedged,Yes,No
IE00BYXYX521,A2DPAK,Invesco Bloomberg Commodity ex-Agriculture UCITS ETF Acc,Invesco,25.67,25.67,36.62,-0.1282,0.0019,0.2404,USD,-0.1372,-0.0362,-0.211,5/22/2017,XAAG,-0.167,Ireland,-0.0376,0.248,3/21/2023,Currency unhedged,Yes,No
IE00BZ163L38,A143JQ,Vanguard USD Emerging Markets Government Bond UCITS ETF Distributing,Vanguard,37.7,37.7,41.74,0.0075,0.0025,0.1096,USD,-0.003,-0.0034,-0.0335,12/6/2016,VGEM,-0.0338,Ireland,-0.0039,-0.099,3/21/2023,Currency unhedged,Yes,No
IE00B6QGFW01,A1JTNB,iShares Emerging Asia Local Government Bond UCITS ETF,iShares,80.42,77.74,85.24,0.0189,0.005,0.081,USD,0.0183,0.0004,-0.0012,3/2/2012,IS0S,-0.0151,Ireland,0.0055,-0.022,3/21/2023,Currency unhedged,Yes,No
IE00BFM6T814,A2JKT1,iShares Emerging Asia Local Government Bond UCITS ETF USD (Acc),iShares,5.03,4.77,5.23,0.0244,0.005,0.0811,USD,0.0244,0.006,0.004,5/31/2018,IBCB,-0.0098,Ireland,0.01,-0.0277,3/21/2023,Currency unhedged,Yes,No
IE00B7MXFZ59,A1JLNG,SPDR Bloomberg EM Inflation Linked Local Bond UCITS ETF,SPDR ETF,43.56,43.18,50.93,0.0221,0.0055,0.1236,USD,0.0216,-0.0037,-0.0136,4/23/2013,SYBI,0.0462,Ireland,-0.018,0.0813,3/21/2023,Currency unhedged,Yes,No
IE00B4613386,A1JJTV,SPDR Bloomberg Emerging Markets Local Bond UCITS ETF,SPDR ETF,51.55,50.79,54.99,0.0143,0.0055,0.084,USD,0.0118,-0.0039,-0.0063,5/13/2011,SYBM,-0.0096,Ireland,-0.0019,-0.0519,3/21/2023,Currency unhedged,Yes,No
IE00BFWFPY67,A2JPTJ,SPDR Bloomberg Emerging Markets Local Bond UCITS ETF,SPDR ETF,26.87,26,27.99,0.0154,0.0055,0.0837,USD,0.0131,-0.0026,-0.0052,7/20/2018,SPFA,-0.0084,Ireland,-0.0007,-0.0517,3/21/2023,Currency unhedged,Yes,No
IE00BK8JH525,A2PUE9,SPDR Bloomberg Emerging Markets Local Bond UCITS ETF EUR Hedged (Acc),SPDR ETF,24.84,22.43,27.02,0.0118,0.006,0.1236,EUR Hedged,0.011,-0.0028,0.045,11/15/2019,SPFD,-0.0704,Ireland,-0.0028,-0.1353,3/21/2023,Currency hedged,Yes,No
IE00BF51K132,A2DX8T,Invesco Emerging Markets USD Bond UCITS ETF Dist,Invesco,13.97,13.95,15.44,-0.0085,0.0025,0.1129,USD,-0.0183,-0.0155,-0.0403,11/16/2017,EMSB,-0.0542,Ireland,-0.0148,-0.1078,3/21/2023,Currency unhedged,Yes,Yes
LU1324516050,A1439E,UBS ETF (LU) Bloomberg USD Emerging Markets Sovereign UCITS ETF (USD) A-dis,UBS ETF,7.8,7.77,8.96,-0.0111,0.0042,0.1072,USD,-0.0172,-0.0189,-0.0395,1/29/2016,UEFS,-0.0689,Luxembourg,-0.014,-0.1401,3/21/2023,Currency unhedged,Yes,No
LU1324516308,A1439H,UBS ETF (LU) Bloomberg USD Emerging Markets Sovereign UCITS ETF (hedged to EUR) A-acc,UBS ETF,9.9,9,11.37,-0.012,0.0047,0.1353,EUR Hedged,-0.016,-0.0189,0.0103,4/29/2016,FRCK,-0.1277,Luxembourg,-0.016,-0.2188,3/21/2023,Currency hedged,Yes,No
LU1829218749,LYX0Z2,Amundi Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF Acc,Amundi ETF,21.57,21.57,29.31,-0.1308,0.003,0.2024,EUR,-0.1152,-0.0503,-0.1837,1/26/2006,LYTR,-0.1311,Luxembourg,-0.0385,0.294,3/21/2023,Currency unhedged,Yes,No
LU1900069219,LYX0XU,Amundi Bloomberg Equal-weight Commodity ex-Agriculture UCITS ETF Euro Hedged Acc,Amundi ETF,24.95,24.93,34.43,-0.1334,0.0035,0.2118,EUR Hedged,-0.116,-0.0502,-0.1373,12/11/2018,C099,-0.1838,Luxembourg,-0.0399,0.1892,3/21/2023,Currency hedged,Yes,No
IE00B6YX5F63,A1JKSV,SPDR Bloomberg 1-3 Year Euro Government Bond UCITS ETF,SPDR ETF,49.79,49.09,51.56,0.012,0.0015,0.025,EUR,0.0093,0.0111,0.0024,11/14/2011,SYB3,-0.0324,Ireland,0.0065,-0.0497,3/21/2023,Currency unhedged,Yes,No
IE00B41RYL63,A1JJTM,SPDR Bloomberg Euro Aggregate Bond UCITS ETF,SPDR ETF,53.06,51.53,59.98,0.03,0.0017,0.0818,EUR,0.0146,0.0168,0.0006,5/23/2011,SYBA,-0.1092,Ireland,0.0091,-0.1734,3/21/2023,Currency unhedged,Yes,No
IE00B87RLX93,A1T94L,iShares Euro Corporate Bond Financials UCITS ETF,iShares,95.31,91.3,104.49,0.0083,0.002,0.0586,EUR,0.0017,-0.0114,0.0021,5/7/2013,IS3B,-0.0857,Ireland,-0.0059,-0.1386,3/21/2023,Currency unhedged,Yes,Yes
IE00B4WXJJ64,A0RL83,iShares Core Euro Government Bond UCITS ETF (Dist),iShares,108.76,105.06,124.3,0.0373,0.0009,0.0952,EUR,0.0194,0.0237,0.0006,4/17/2009,EUNH,-0.1179,Ireland,0.0129,-0.185,3/21/2023,Currency unhedged,Yes,Yes
IE00BH04GL39,A2PA8D,Vanguard EUR Eurozone Government Bond UCITS ETF Accumulating,Vanguard,22.48,21.7,25.51,0.0389,0.0007,0.0952,EUR,0.0207,0.0244,0.0018,2/19/2019,VGEA,-0.1161,Ireland,0.0139,-0.1845,3/21/2023,Currency unhedged,Yes,No
IE00BZ163H91,A143JL,Vanguard EUR Eurozone Government Bond UCITS ETF Distributing,Vanguard,22.38,21.63,25.59,0.0384,0.0007,0.0957,EUR,0.0202,0.0239,0.0013,2/24/2016,VGEB,-0.1164,Ireland,0.0133,-0.1843,3/21/2023,Currency unhedged,Yes,No
LU0721553864,A1JRDL,UBS ETF (LU) Bloomberg Euro Area Liquid Corporates UCITS ETF (EUR) A-dis,UBS ETF,90.79,86.94,101.03,0.021,0.0018,0.0717,EUR,0.0112,-0.0018,0.0153,1/24/2012,UEFR,-0.0918,Luxembourg,-0.0004,-0.1611,3/21/2023,Currency unhedged,Yes,No
LU1048314196,A110QF,UBS ETF (LU) Bloomberg Euro Area Liquid Corporates 1-5 Year UCITS ETF (EUR) A-dis,UBS ETF,12.59,12.27,13.33,0.0147,0.0018,0.0421,EUR,0.0106,0.0016,0.0098,5/30/2014,UEF6,-0.0502,Luxembourg,0.0016,-0.0888,3/21/2023,Currency unhedged,Yes,No
LU1525418643,A2DJET,Amundi Index Euro Corporate BBB 1-5 UCITS ETF DR,Amundi ETF,48.37,47,50.96,0.0117,0.002,0.0371,EUR,0.0056,-0.0029,0.0031,1/3/2017,A4H7,-0.0505,Luxembourg,0.0019,-0.0879,3/17/2023,Currency unhedged,Yes,Yes
IE00BF51K249,A2DX8S,Invesco Euro Corporate Bond UCITS ETF Dist,Invesco,17.76,17.22,19.56,0.0085,0.001,0.063,EUR,0,-0.0084,0.0028,11/14/2017,PSFE,-0.0871,Ireland,-0.0067,-0.137,3/21/2023,Currency unhedged,Yes,Yes
IE00BF11F565,A2DUC3,iShares Core Euro Corporate Bond UCITS ETF (Acc),iShares,4.69,4.48,5.07,0.0196,0.002,0.0624,EUR,0.0108,0.0021,0.013,9/21/2017,IUSG,-0.0787,Ireland,0.0021,-0.1421,3/21/2023,Currency unhedged,Yes,Yes
IE00B3F81R35,A0RGEP,iShares Core Euro Corporate Bond UCITS ETF (Dist),iShares,115.24,111.44,126.57,0.0173,0.002,0.0636,EUR,0.0088,0,0.0106,3/6/2009,EUN5,-0.0802,Ireland,-0.0002,-0.1414,3/21/2023,Currency unhedged,Yes,Yes
IE00B3T9LM79,A1JJTQ,SPDR Bloomberg Euro Corporate Bond UCITS ETF,SPDR ETF,50.88,49.18,55.99,0.0187,0.0012,0.0628,EUR,0.0099,0.001,0.0111,5/23/2011,SYBC,-0.0815,Ireland,0.001,-0.1412,3/21/2023,Currency unhedged,Yes,No
IE00BGYWT403,A2PA8G,Vanguard EUR Corporate Bond UCITS ETF Accumulating,Vanguard,46.57,44.57,50.36,0.018,0.0009,0.063,EUR,0.0091,0.0006,0.0111,2/19/2019,VECA,-0.0793,Ireland,0.0002,-0.1376,3/21/2023,Currency unhedged,Yes,No
IE00BZ163G84,A143JK,Vanguard EUR Corporate Bond UCITS ETF Distributing,Vanguard,46.66,45.06,51.2,0.0178,0.0009,0.0631,EUR,0.009,0.0005,0.0109,2/24/2016,VECP,-0.0794,Ireland,0.0003,-0.1375,3/21/2023,Currency unhedged,Yes,No
LU0478205379,DBX0EY,Xtrackers II EUR Corporate Bond UCITS ETF 1C,Xtrackers,142.13,136.03,153.77,0.0174,0.0012,0.064,EUR,0.0088,-0.0001,0.0108,2/23/2010,D5BG,-0.0798,Luxembourg,-0.0002,-0.1378,3/21/2023,Currency unhedged,Yes,Yes
LU0478205965,DBX0EZ,Xtrackers II EUR Corporate Bond UCITS ETF 1D,Xtrackers,7.61,7.34,8.36,0.0188,0.0012,0.0646,EUR,0.0094,0.0013,0.0119,10/14/2021,XEC1,-0.0787,Luxembourg,0,-0.1379,3/21/2023,Currency unhedged,Yes,Yes
IE00BC7GZW19,A1W3V1,SPDR Bloomberg 0-3 Year Corporate Bond UCITS ETF,SPDR ETF,29.07,28.68,29.8,0.0082,0.002,0.0194,EUR,0.0068,0.0028,0.0075,8/27/2013,SYBD,-0.021,Ireland,0.0017,-0.0381,3/21/2023,Currency unhedged,Yes,No
IE000F6G1DE0,A3DJQH,iShares EUR Corporate Bond 1-5yr UCITS ETF EUR (Acc),iShares,4.84,4.7,4.98,0.0105,0.002,,EUR,0.0084,0,0.0084,4/29/2022,IE1A,,Ireland,0,,3/21/2023,Currency unhedged,Yes,Yes
IE00B4L60045,A0RPWQ,iShares EUR Corporate Bond 1-5yr UCITS ETF EUR (Dist),iShares,102.23,99.8,107.81,0.0122,0.002,0.0394,EUR,0.0084,0.0013,0.0084,9/25/2009,EUNT,-0.0477,Ireland,0.0008,-0.084,3/21/2023,Currency unhedged,Yes,Yes
IE0000BH4WF5,A3DLEH,iShares EUR Corporate Bond ex-Financials UCITS ETF EUR (Acc),iShares,4.81,4.6,5.05,0.0255,0.002,,EUR,0.0147,0.0084,0.0169,5/25/2022,IEXA,,Ireland,0.0042,,3/21/2023,Currency unhedged,Yes,Yes
IE00B4L5ZG21,A0RPWN,iShares EUR Corporate Bond ex-Financials UCITS ETF EUR (Dist),iShares,104.05,100.15,113.59,0.024,0.002,0.0675,EUR,0.0139,0.0088,0.0172,9/25/2009,EUNR,-0.0755,Ireland,0.0041,-0.1427,3/21/2023,Currency unhedged,Yes,Yes
IE00B3VTMJ91,A0X8SK,iShares Euro Government Bond 1-3yr UCITS ETF (Acc),iShares,107.15,105.78,110.31,0.0115,0.0015,0.0226,EUR,0.0098,0.0105,0.0053,6/2/2009,SXRN,-0.0271,Ireland,0.006,-0.043,3/21/2023,Currency unhedged,Yes,Yes
IE00B14X4Q57,A0J205,iShares Euro Government Bond 1-3yr UCITS ETF (Dist),iShares,137.94,136.19,142.01,0.0116,0.0015,0.0224,EUR,0.0099,0.0105,0.0053,6/5/2006,IBCA,-0.027,Ireland,0.006,-0.0429,3/21/2023,Currency unhedged,Yes,Yes
IE00B3VTN290,A0X8SM,iShares Euro Government Bond 7-10yr UCITS ETF (Acc),iShares,141.95,136.25,162.1,0.0496,0.0015,0.1131,EUR,0.0308,0.0291,0.0065,6/2/2009,SXRQ,-0.1204,Ireland,0.0154,-0.202,3/21/2023,Currency unhedged,Yes,Yes
IE00B1FZS806,A0LGQA,iShares Euro Government Bond 7-10yr UCITS ETF EUR (Dist),iShares,186.56,179.01,213.28,0.0497,0.0015,0.1131,EUR,0.0309,0.0292,0.0066,12/8/2006,IBCM,-0.1205,Ireland,0.0155,-0.202,3/21/2023,Currency unhedged,Yes,Yes
IE00BYSZ6062,A2ACRK,SPDR Bloomberg 10+ Year Euro Government Bond UCITS ETF,SPDR ETF,24.53,23.09,31.88,0.0665,0.0015,0.1837,EUR,0.0231,0.0358,-0.0088,2/17/2016,SYBV,-0.2177,Ireland,0.0188,-0.3234,3/21/2023,Currency unhedged,Yes,No
IE00B4WXJH41,A0RL82,iShares Euro Government Bond 10-15yr UCITS ETF,iShares,149.31,142.21,179.69,0.0628,0.0015,0.1386,EUR,0.0363,0.0323,0.0076,4/17/2009,EUN8,-0.1564,Ireland,0.0168,-0.2544,3/21/2023,Currency unhedged,Yes,Yes
IE00B1FZS913,A0LGP5,iShares Euro Government Bond 15-30yr UCITS ETF (Dist),iShares,183.55,171.83,244.55,0.072,0.0015,0.2023,EUR,0.0226,0.0372,-0.0137,12/8/2006,IBCL,-0.24,Ireland,0.021,-0.3499,3/21/2023,Currency unhedged,Yes,Yes
IE00B3VTML14,A0X8SL,iShares Euro Government Bond 3-7yr UCITS ETF (Acc),iShares,123.18,119.79,133.63,0.0281,0.0015,0.067,EUR,0.0193,0.0209,0.0045,6/2/2009,SXRP,-0.0748,Ireland,0.0117,-0.1227,3/21/2023,Currency unhedged,Yes,Yes
IE00B1FZS681,A0LGP6,iShares Euro Government Bond 3-5yr UCITS ETF,iShares,157.88,153.99,169.2,0.024,0.0015,0.0559,EUR,0.0172,0.0192,0.0044,12/8/2006,IBCN,-0.0632,Ireland,0.0106,-0.1023,3/21/2023,Currency unhedged,Yes,Yes
IE00B4WXJG34,A0RL81,iShares Euro Government Bond 5-7yr UCITS ETF,iShares,142.1,137.62,156.97,0.0347,0.0015,0.0824,EUR,0.0229,0.024,0.005,4/17/2009,EUN9,-0.0907,Ireland,0.0132,-0.1491,3/21/2023,Currency unhedged,Yes,Yes
LU1645380368,A2DUGB,UBS ETF (LU) Bloomberg Euro Inflation Linked 1-10 UCITS ETF (EUR) A-dis,UBS ETF,14.27,14.11,16.06,0.0192,0.002,0.0664,EUR,0.015,0.0078,-0.0007,10/31/2017,FRC3,-0.0348,Luxembourg,-0.0014,-0.0327,3/21/2023,Currency unhedged,Yes,No
LU1645381689,A2DUGP,UBS ETF (LU) Bloomberg Euro Inflation Linked 10+ UCITS ETF (EUR) A-dis,UBS ETF,17.08,16.5,22.94,0.049,0.002,0.1847,EUR,0.021,0.0088,-0.0093,10/31/2017,FRC4,-0.1763,Luxembourg,-0.0012,-0.2262,3/21/2023,Currency unhedged,Yes,No
